legId,searchDate,flightDate,startingAirport,destinationAirport,travelDuration,isBasicEconomy,isRefundable,isNonStop,totalFare,totalTravelDistance,segmentsDepartureTimeEpochSeconds,segmentsDepartureTimeRaw,segmentsArrivalTimeEpochSeconds,segmentsArrivalTimeRaw,segmentsArrivalAirportCode,segmentsDepartureAirportCode,segmentsAirlineName,segmentsAirlineCode,segmentsEquipmentDescription,segmentsDurationInSeconds,segmentsDistance,segmentsCabinCode
6b6a0000a0397dcd51dc05328e7ebe97,2022-04-16,2022-04-18,ATL,PHL,PT4H3M,False,False,False,496.6,859.0,1650318240||1650329940,2022-04-18T17:44:00.000-04:00||2022-04-18T20:59:00.000-04:00,1650326820||1650332820,2022-04-18T20:07:00.000-04:00||2022-04-18T21:47:00.000-04:00,EWR||PHL,ATL||EWR,United||United,UA||UA,Boeing 737-700||,8580||2880,762||97,coach||coach
029519d0362d62c39ca8f03135933962,2022-04-16,2022-04-18,ATL,PHL,PT5H28M,False,False,False,496.6,859.0,1650304200||1650321000,2022-04-18T13:50:00.000-04:00||2022-04-18T18:30:00.000-04:00,1650312180||1650323880,2022-04-18T16:03:00.000-04:00||2022-04-18T19:18:00.000-04:00,EWR||PHL,ATL||EWR,United||United,UA||UA,Airbus A319||,7980||2880,762||97,coach||coach
c7d3133d91aad0a957cb7e06f3b109ee,2022-04-16,2022-04-18,ATL,PHL,PT9H51M,False,False,False,559.61,1259.0,1650334020||1650360600,2022-04-18T22:07:00.000-04:00||2022-04-19T05:30:00.000-04:00,1650340080||1650369480,2022-04-18T23:48:00.000-04:00||2022-04-19T07:58:00.000-04:00,MCO||PHL,ATL||MCO,Frontier Airlines||Frontier Airlines,F9||F9,||,6060||8880,399||860,coach||coach
8e0d1fc3ffe9f01a2b907432c5300ca7,2022-04-16,2022-04-18,ATL,PHL,PT6H38M,False,False,False,651.59,1227.0,1650293100||1650310800,2022-04-18T10:45:00.000-04:00||2022-04-18T15:40:00.000-04:00,1650302580||1650316980,2022-04-18T13:23:00.000-04:00||2022-04-18T17:23:00.000-04:00,BOS||PHL,ATL||BOS,JetBlue Airways||JetBlue Airways,B6||B6,||Embraer 190,9480||6180,947||280,coach||coach
2f438b7db301856914b97f7c4731178f,2022-04-16,2022-04-18,ATL,PHL,PT2H2M,False,False,True,824.6,667.0,1650307500,2022-04-18T14:45:00.000-04:00,1650314820,2022-04-18T16:47:00.000-04:00,PHL,ATL,Delta,DL,Boeing 737-900,7320,667,first
64129d07b27f9c8bfd10c64f186e20b8,2022-04-16,2022-04-18,ATL,SFO,PT9H30M,True,False,False,307.6,2857.0,1650312300||1650339000,2022-04-18T16:05:00.000-04:00||2022-04-18T20:30:00.000-07:00,1650332940||1650346500,2022-04-18T18:49:00.000-07:00||2022-04-18T22:35:00.000-07:00,SEA||SFO,ATL||SEA,Alaska Airlines||Alaska Airlines,AS||AS,Boeing 737-900||Airbus A320,20640||7500,2178||679,coach||coach
77a563541bc28235985feb2fd3481d6f,2022-04-16,2022-04-18,ATL,SFO,PT10H38M,True,False,False,307.6,2857.0,1650312300||1650342900,2022-04-18T16:05:00.000-04:00||2022-04-18T21:35:00.000-07:00,1650332940||1650350580,2022-04-18T18:49:00.000-07:00||2022-04-18T23:43:00.000-07:00,SEA||SFO,ATL||SEA,Alaska Airlines||Alaska Airlines,AS||AS,Boeing 737-900||AIRBUS INDUSTRIE A321 SHARKLETS,20640||7680,2178||679,coach||coach
24c092cdd7e76384ca546459cd953298,2022-04-16,2022-04-18,ATL,SFO,PT9H31M,False,False,False,366.1,762.0,1650310020||1650321000,2022-04-18T15:27:00.000-04:00||2022-04-18T18:30:00.000-04:00,1650318900||1650344280,2022-04-18T17:55:00.000-04:00||2022-04-18T21:58:00.000-07:00,EWR||SFO,ATL||EWR,United||United,UA||UA,Airbus A319||Boeing 757-200,8880||23280,762||2566,coach||coach
4810e6d049e3a5cb3966891831dc0f1b,2022-04-16,2022-04-18,ATL,SFO,PT7H52M,False,False,False,369.1,2520.0,1650313080||1650320760,2022-04-18T16:18:00.000-04:00||2022-04-18T18:26:00.000-04:00,1650317160||1650341400,2022-04-18T17:26:00.000-04:00||2022-04-18T21:10:00.000-07:00,CLT||SFO,ATL||CLT,American Airlines||American Airlines,AA||AA,Airbus A319||Airbus A321,4080||20640,228||2292,coach||coach
d730b1b6664f0b75136f9a27dd198ec6,2022-04-16,2022-04-18,ATL,SFO,PT9H15M,False,False,False,369.1,2520.0,1650284400||1650297060,2022-04-18T08:20:00.000-04:00||2022-04-18T11:51:00.000-04:00,1650289800||1650317700,2022-04-18T09:50:00.000-04:00||2022-04-18T14:35:00.000-07:00,CLT||SFO,ATL||CLT,American Airlines||American Airlines,AA||AA,Airbus A320||Airbus A321,5400||20640,228||2292,coach||coach
